                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3651,                 3.4587,                 3.5877,                0.00377,                0.06323,                0.00382,                0.00085,                 6.5939,                  4.599,                 3.9902,             0.00054881,             0.00054881,             0.00054881
                      2,                 3.3859,                   2.12,                 2.1406,                0.03158,                0.27095,                0.03469,                0.00917,                 3.2209,                 3.0816,                 2.0014,             0.00099513,             0.00099513,             0.00099513
                      3,                 3.1455,                 1.9894,                 1.9608,                0.12753,                0.18814,                0.05473,                 0.0144,                 3.0255,                 2.3537,                 1.8883,              0.0013314,              0.0013314,              0.0013314
                      4,                 2.8904,                 1.9157,                 1.8417,                0.08332,                 0.3024,                0.07274,                 0.0208,                  2.911,                  3.368,                 1.8641,              0.0011719,              0.0011719,              0.0011719
                      5,                 2.6549,                 1.8601,                 1.6981,                0.09384,                0.31637,                0.07848,                0.02235,                 2.7222,                 2.9457,                 1.7152,              0.0011719,              0.0011719,              0.0011719
                      6,                 2.5277,                 1.7759,                 1.6155,                0.13477,                0.42673,                0.13124,                0.04171,                  2.523,                 2.8516,                 1.6077,              0.0010069,              0.0010069,              0.0010069
                      7,                 2.4121,                 1.7209,                 1.5584,                0.21832,                0.30098,                0.15052,                0.04967,                 2.5405,                  2.341,                 1.6271,             0.00084184,             0.00084184,             0.00084184
                      8,                 2.3377,                 1.6712,                 1.5154,                0.29012,                0.28162,                 0.1828,                0.06182,                 2.4873,                 2.0307,                 1.5729,              0.0006768,              0.0006768,              0.0006768
                      9,                 2.2802,                 1.6656,                 1.4837,                0.22311,                0.25298,                0.17667,                0.05877,                 2.4726,                   2.03,                 1.5647,             0.00051177,             0.00051177,             0.00051177
                     10,                 2.2015,                 1.6098,                 1.4545,                0.34702,                0.33774,                0.27464,                0.10809,                 2.2636,                 1.8138,                 1.4649,             0.00034674,             0.00034674,             0.00034674
